our_code	producer_code	name	producer	quantity	price	ean
0AU7561489	7561489	AUTOMAT STOPU FABRYCZNY PN 126P	POLONEZ/FSO	0	87,00	0007561489
0AU80180000	80180000	AUTOMAT ROZRUSZ.PN MR93 WE80A FAB	POLONEZ/FSO	0	72,73	
0AU80180000/WISMOT	80180000/WISMOT	AUTOMAT ROZRUSZ.PN MR93 WE80A WISMOT	POLONEZ/FSO	0	80,79	
0AU91103000	91103000	AUTOMAT ROZRUSZ.PN/FSO WE8A FABRYKA	POLONEZ/FSO	0	46,55	
0AU91103000/WISMOT	91103000/WISMOT	AUTOMAT ROZRUSZ.PN/FSO WE8A WISMOT	POLONEZ/FSO	1	83,16	
0AUE001	E001	AUTOMAT ROZRUSZ.PN/FSO WE8A STATIM	STATIM	0	37,69	5907659302477
0AUE006	E006	AUTOMAT ROZRUSZ.PN MR93 WE80A STATIM	STATIM	0	37,71	5907659302521
0AUWE205	WE205	AUTOMAT ROZRUSZ.PN MR93 WE80A KOMAX	POLONEZ/FSO	0	70,84	
0BE01892322	01892322	BEBENEK ZAMKA DRZWI 1 SZT.PN	POLONEZ/FSO	3	13,39	
0BE018923K	018923K	BEBENKI ZAMKA DRZWI 3 SZT.PN	POLONEZ/FSO	2	32,73	
0BE061751/1	061751/1	BEBEN HAMULCOWY PN LUKAS ENPEZET 1025	POLONEZ/FSO	0	59,66	
0BE067206	067206	BEBENEK ZAMKA DRZWI PN PLUS "P"	POLONEZ/FSO	0	33,76	
0BE087001/1	087001/1	BENDIX ROZRUSZ.PN FSO RZEMIOSLO	POLONEZ/FSO	5	47,58	
0BE18923	18923	BEBENKI ZAMKA DRZWI 2 SZT.PN	POLONEZ/FSO	7	25,03	
0BE4169537	4169537	BEBENEK ZAMKA WLEWU PALIWA PN RZEMIOSLO	POLONEZ/FSO	5	11,78	
0BEB001	B001	BENDIX ROZRUSZ.PN FSO STATIM	STATIM	0	17,03	5907659302323
0BL0035242/1	0035242/1	BLOTNIK TYLNY PN PR. KROTKI RZEMIOSLO	POLONEZ/FSO	0	51,23	5907625351058
0BL0035243/1	0035243/1	BLOTNIK TYLNY PN LE. KROTKI RZEMIOSLO	POLONEZ/FSO	0	51,23	
0CE90812100	90812100	CEWKA ROZRUSZNIKA POMOCNICZA CIENKA PN	POLONEZ/FSO	0	14,50	
0CH081124/1	081124/1	CHLODNICA PN CARO 2 WENT.IMPORT 590108-2	POLONEZ/FSO	0	140,87	5901532280760
0CY025376/1	025376/1	CYLINDER SPRZEGLA RZEMIOSLO FSO	POLONEZ/FSO	0	38,53	
0CYLW30989	LW30989	CYLINDEREK HAM.TYL L PN LUCAS DELPHI	POLONEZ/FSO	0	31,23	5012759826744
0CYLW30990	LW30990	CYLINDEREK HAM.TYL P PN LUCAS DELPHI	POLONEZ/FSO	0	31,23	5012759826751
0CZ013913/2	013913/2	CZUJNIK TEMP.WODY DO BLOKU IMP.	POLONEZ/FSO	0	8,05	
0CZ026991	026991	CZUJNIK CIS.OL.PN DO WSK.NA DESCE FCCO-5	POLONEZ/FSO	0	93,03	
0CZ033473	033473	CZUJNIK WENTYLATORA CHLODNICY PN	POLONEZ/FSO	0	6,70	3531650010745
0CZ051558	051558	CZUJNIK CISNIENIA BEZWZGLEDNEGO PN ABIM.	POLONEZ/FSO	8	21,20	5908274106846
0CZ065145	065145	CZUJNIK TEMP PL.CHL.PN WIEL/WTR.-DO KOMP	POLONEZ/FSO	0	27,55	
0CZ4151243/1	4151243/1	CZUJNIK CISNIENIA OLEJU 126 PN OS3522	POLONEZ/FSO	0	3,21	3531650013326
0DIFD-10KTA45	FD-10KTA45	DIODA CZERWONA FSO	POLONEZ/FSO	0	3,84	
